Quaterly Data,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2018-06-30,36476,51354,12565,0,3604,115025,35580,32452,0,8300,143054,258079,94861,101959,24107,126749,221610,41,22993,-7204,0,36469,258079,2018-06-30,38920,33194,5726,0,5140,0,5140,586,763,1349,280,1069,,1069,,1066,586,586,3977,3999,0.27,0.27,2018-06-30,0,0,0,0,0,0,0,0,0,4972,-1909,0,0,0,2858,2858,-3427,-2478,-1757,-826,-2583,0,0,-598,-25,-3206,-1116,0.0,-598,2018-06-30,1.2126,0.7365,4.191,14.7122,1.5057,1.5057,,3.4661,2.739,0.1508,2.6418,0.7579,118.7528,2.9313,2.9313,0.4142,0.7722,8.9604,1.2428,0.7657
2018-03-31,40071,54680,12371,0,3756,123264,36118,31544,0,8546,143966,267230,99878,105351,24845,130916,230794,41,22529,-6669,0,36436,267230,2018-03-31,41959,35753,6206,0,5085,0,5085,1121,798,1919,174,1745,,1745,,1736,1121,1121,3974,3997,0.44,0.43,2018-03-31,0,0,0,0,0,0,0,0,0,3514,-1779,0,0,0,-1827,-1827,-2938,-6544,4593,-909,3684,-89,-89,-1113,-68,2414,-501,0.0,-1113,2018-03-31,1.2341,0.743,4.3455,14.7906,2.6717,2.6717,,4.5735,4.1374,0.157,2.8901,0.7674,117.2859,4.7892,4.7892,0.653,1.2307,8.9545,0.8792,0.4341
2017-12-31,38927,10599,11176,0,3889,116801,35327,31320,0,8104,141695,258496,94600,102666,24711,128290,222890,41,21906,-6959,0,35606,258496,2017-12-31,41326,35004,6322,0,7673,0,5455,867,1005,1872,-652,2524,,2524,,2520,867,867,3975,3998,0.63,0.63,2017-12-31,7757,8572,-284,8288,-3133,-970,6089,65,2051,3147,-2113,0,0,0,-72,-72,-4650,-6835,5852,-670,5182,0,0,-596,-27,4559,918,246.0,-596,2017-12-31,1.2347,0.7425,4.3332,15.2979,2.098,2.098,,4.5298,6.0979,0.1599,3.1321,3.899,23.0826,7.0887,7.0887,0.9764,1.8254,8.7463,0.7853,0.2573
2017-09-30,38081,10277,11263,0,3570,112732,34760,32058,0,7041,138541,251273,94352,97938,24819,123658,218010,41,19405,-6759,0,33263,251273,2017-09-30,36451,30275,6176,0,5178,0,5178,998,772,1770,191,1579,,1579,,1572,998,998,3972,3996,0.4,0.39,2017-09-30,0,0,0,0,0,0,0,0,0,4998,-1672,0,0,0,2428,2428,-4419,-3663,-1336,1827,491,0,0,-596,-22,-127,1383,0.0,-596,2017-09-30,1.1948,0.7465,4.4828,16.9433,2.7379,2.7379,,4.8558,4.3126,0.1451,2.688,3.5469,25.3746,4.747,4.747,0.6284,1.2035,8.1989,1.2508,0.8324
2017-06-30,39109,10159,11092,0,3291,113539,33794,31838,0,6602,133930,247469,94299,95236,24840,120908,215207,41,18437,-6716,0,32262,247469,2017-06-30,39853,33342,6511,0,4959,0,4959,1552,714,2266,211,2055,,2055,,2047,1552,1552,3977,3996,0.51,0.51,2017-06-30,0,0,0,0,0,0,0,0,0,5615,-1558,0,13467,0,-698,-698,-16421,-5210,-827,-586,-1413,-131,-131,-597,-17,-2158,-1587,0.0,-597,2017-06-30,1.204,0.747,4.5257,16.3375,3.8943,3.8943,,5.6859,5.1364,0.161,3.006,3.9229,22.9421,6.3697,6.3697,0.8304,1.6118,7.9522,1.4059,1.0157
2017-03-31,39989,10685,10535,0,3414,113228,32668,31556,0,5893,130866,244094,91304,96720,24583,122149,213453,41,16992,-6929,0,30641,244094,2017-03-31,39146,32700,6446,0,2764,-2218,4982,1464,787,2251,652,1599,,1599,,1592,1464,1464,3976,3999,0.4,0.4,2017-03-31,0,0,0,0,0,0,0,0,0,4336,-1706,0,-13467,0,673,673,10848,-3652,1342,658,2000,0,0,-795,-85,1120,1905,0.0,-795,2017-03-31,1.2401,0.7594,4.7641,16.4666,3.7398,3.7398,,5.7503,4.0668,0.1604,3.1039,3.6636,24.5657,5.2185,5.2185,0.6551,1.2555,7.5564,1.0843,0.6577
2016-12-31,38827,11102,8898,0,3368,108461,32072,32133,0,5656,129490,237951,90281,93301,24395,118483,208764,41,15634,-7013,0,29187,237951,2016-12-31,38654,32488,6166,0,11688,0,11688,-5522,4393,-1129,-341,-788,,-788,,-790,-5522,-5522,3973,3999,-0.2,-0.19,2016-12-31,4600,8717,3539,12256,-2855,-803,6595,57,2994,2798,-2080,0,0,0,-2047,-2047,-3117,-7244,5227,2664,7891,0,0,-596,-5,7290,2615,210.0,-596,2016-12-31,1.2014,0.7617,4.8984,15.9518,-14.2857,-14.2857,,-2.9208,-2.0438,0.1624,3.6512,3.4817,25.8493,-2.6998,-2.6998,-0.3312,-0.6433,7.1925,0.7007,0.1803
2016-09-30,34165,10029,10219,0,3552,103515,32257,32991,0,7111,131448,234963,89188,89951,23652,114276,203464,41,17013,-6046,0,31499,234963,2016-09-30,35943,30668,5275,0,2657,0,2657,2618,-1231,1387,426,961,,961,,957,2618,2618,3974,4000,0.24,0.24,2016-09-30,0,0,0,0,0,0,0,0,0,5161,-1706,0,0,0,1239,1239,-5482,-5949,-2533,266,-2267,0,0,-596,-15,-2878,-3723,0.0,-596,2016-09-30,1.1606,0.7406,4.3565,14.676,7.2838,7.2838,,3.8589,2.6625,0.153,3.0011,3.5839,25.1123,3.0509,3.0509,0.409,0.7913,7.7833,1.288,0.8621
2016-06-30,39297,10728,9829,0,3053,110767,31940,32817,0,6905,128911,239678,89408,95053,23416,119116,208524,41,16652,-5976,0,31154,239678,2016-06-30,39485,32522,6963,0,2784,0,2784,4179,-1304,2875,903,1972,,1972,,1970,4179,4179,3973,3997,0.5,0.49,2016-06-30,0,0,0,0,0,0,0,0,0,7742,-1695,0,0,0,1286,1286,-4725,-5134,-1722,1055,-667,0,0,-596,-28,-1291,1146,0.0,-596,2016-06-30,1.2389,0.7532,4.491,17.6345,10.5838,10.5838,,7.2812,4.9892,0.1647,3.3088,3.6806,24.4528,6.3298,6.3298,0.8228,1.5625,7.7,1.9367,1.5127
2016-03-31,39473,11252,9770,0,0,154775,31164,32054,0,8716,82513,237288,22072,140995,43949,185595,207667,41,15278,-6046,0,29621,237288,2016-03-31,37718,30517,7201,0,2690,0,2690,4511,-860,3651,1196,2455,,2455,,2452,4511,4511,3970,3996,0.62,0.61,2016-03-31,0,0,0,0,0,0,0,0,0,4149,-1511,0,0,0,-2552,-2552,-2912,-6975,6192,-121,6071,-145,-145,-1588,-59,4279,1645,0.0,-1588,2016-03-31,7.0123,0.8264,4.76,19.0917,11.9598,11.9598,,9.6797,6.5009,0.159,3.1235,3.3521,26.8487,8.288,8.288,1.0346,1.4389,7.3229,1.0383,0.6602
