Quaterly Data,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,Selling General Administrative Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share
2011-09-30,36777.03,28684.71,8092.32,1458.37,4274.6,,5732.97,2359.352,-176.99,2796.4,870.77,1925.63,,1894.072,0.0,1894.072,3595.182,2359.352,1123.945,1123.945,1.69,1.69
2011-06-30,38113.72,28424.03,9689.689,1358.32,4403.03,,5761.35,3928.34,-84.89,3627.46,1175.58,2451.88,,2325.49,0.0,2325.49,5283.58,3928.34,1064.238,1064.238,2.19,2.19
2011-03-31,36652.58,25701.48,10951.1,1302.84,4086.26,,5389.1,5561.998,-142.18,2574.24,961.07,1613.17,,1748.961,0.0,1748.961,6791.018,5561.998,1192.202,1192.202,1.47,1.47
2010-12-31,35650.96,27493.21,8157.75,1266.81,5202.61,,6469.42,1688.328,-52.85,2059.06,451.91,1607.15,,1539.707,0.0,1539.707,2936.338,1688.328,1151.515,1151.515,1.34,1.34
2010-09-30,34582.69,24543.47,10039.22,1158.59,3413.86,,4572.45,5466.771,-267.08,2963.58,886.36,2077.22,,2220.818,0.0,2220.818,6575.151,5466.771,1118.237,1118.237,1.99,1.99
2010-06-30,32504.02,24512.6,7991.42,1084.68,3864.03,,4948.71,3042.711,-173.55,2404.17,729.92,1674.25,,1698.541,0.0,1698.541,4019.951,3042.711,1111.864,1111.864,1.53,1.53
2010-03-31,28264.09,23027.28,5236.811,1105.7,3486.16,,4591.86,644.9512,-363.02,1374.51,526.52,847.99,,816.426,0.0,816.426,1778.371,644.9512,938.421,938.421,0.87,0.87
2009-12-31,31494.07,25412.62,6081.451,879.13,4207.29,,5086.42,995.0313,-654.25,170.66,809.39,-638.73,,-519.904,0.0,-519.904,2005.451,995.0313,1024.0,1024.6,-0.51,-0.51
2009-09-30,28945.69,22108.29,6837.4,1040.45,3542.98,,4583.43,2253.971,-497.35,408.75,328.71,80.04,,83.944,0.0,83.944,3584.841,2253.971,1399.067,1399.067,0.06,0.06
2009-06-30,27901.8,22462.39,5439.41,1092.4,3605.47,,4697.87,741.5391,-1204.09,-1650.86,-204.31,-1446.55,,-1445.453,0.0,-1445.453,1845.659,741.5391,1026.263,1026.263,-1.41,-1.41
2009-03-31,24564.75,21456.43,3108.32,1026.78,3573.45,,4600.23,-1491.908,-508.81,-2133.34,-451.26,-1682.08,,-1691.219,0.0,-1691.219,-385.3481,-1491.908,918.571,918.571,-1.84,-1.84
