Quaterly Data,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2013-03-31,1003.88,1398.83,1398.83,0.0,0.0,0.0,0.0,-1232.39,573.27,-1340.71,0.0,0.0,0.0,0.0,-966.89,-677.62,-2985.23,0.0,0.0,2879.56,0.0,-19.81,-39.62,-21.13,2798.98,474.2,0,0.0
2012-12-31,2874.48,1415.05,1415.05,0.0,0.0,0.0,0.0,-2959.56,-895.38,-1913.9,0.0,0.0,0.0,0.0,-78.83,-730.04,-2722.79,0.0,-87.45,2385.06,0.0,16.41,-579.13,412.58,2147.46,-1556.27,0,0.0
2012-09-30,1916.38,1217.04,1217.04,0.0,0.0,0.0,0.0,-1104.67,-569.44,-1147.98,0.0,0.0,0.0,0.0,-1835.74,-662.33,-3646.04,0.0,0.0,4388.88,0.0,28.61,79.06,-12.96,4483.59,146.65,0,0.0
2012-06-30,2540.79,1262.57,1262.57,0.0,0.0,0.0,0.0,-4614.67,670.21,-1600.09,0.0,0.0,0.0,0.0,-1513.0,-445.81,-3558.91,0.0,0.0,6510.6,0.0,32.64,-3014.84,-456.13,3072.27,271.71,0,0.0
2012-03-31,2594.46,1335.9,1335.9,0.0,0.0,0.0,0.0,-3843.85,-620.1,-1293.95,0.0,0.0,0.0,0.0,412.96,-591.26,-1472.25,0.0,0.0,5124.69,0.0,-26.22,0.0,-3.93,5094.54,2964.17,0,0.0
2011-12-31,5758.69,1159.17,1159.17,0.0,0.0,0.0,0.0,-2541.67,-1559.81,-1692.39,0.0,-246.36,0.0,0.0,-1469.38,548.95,-2859.2,0.0,3605.95,7628.36,0.0,16.0,335.79,-7636.18,3949.92,-324.74,0,0.0
2011-09-30,1859.29,1235.83,1235.83,0.0,0.0,0.0,0.0,-3616.68,106.96,-1339.17,0.0,183.05,0.0,0.0,-503.5,-1807.41,-3467.02,0.0,0.0,-4092.23,0.0,26.63,37.1,7246.94,3218.44,4.61,0,0.0
2011-06-30,2536.61,1355.24,1355.24,0.0,0.0,0.0,0.0,-3409.92,1194.36,-2474.33,0.0,63.31,0.0,0.0,673.4,188.13,-1549.49,0.0,0.0,4092.23,0.0,-21.01,-3088.02,173.84,1157.02,797.32,0,0.0
2011-03-31,1613.17,1229.02,1229.02,0.0,0.0,0.0,0.0,-3912.64,-710.89,65.62,0.0,0.0,0.0,0.0,0.0,-1294.64,-1229.02,0.0,0.0,0.0,0.0,38.27,-30.07,-196.86,-188.65,-2325.43,0,0.0
2010-12-31,1647.04,1248.01,1248.01,0.0,0.0,0.0,0.0,-1631.07,625.3,-1753.54,0.0,-451.57,0.0,0.0,-2305.27,5941.03,1430.64,0.0,-37.18,-10163.74,0.0,198.1,-13.83,8166.96,-1849.69,339.62,0,0.0
2010-09-30,2104.35,1108.38,1108.38,0.0,0.0,0.0,0.0,1263.28,4851.49,-1092.07,0.0,216.77,0.0,0.0,620.04,-639.05,-894.3,0.0,0.0,0.0,0.0,15.12,-5.02,-68.83,-58.74,3567.5,0,0.0
2010-06-30,1607.23,977.24,977.24,0.0,0.0,0.0,0.0,323.12,3157.17,-649.67,0.0,234.8,0.0,0.0,148.32,-578.72,-845.28,0.0,0.0,0.0,0.0,84.22,-74.16,-4707.57,-4697.5,-2004.61,0,0.0
2010-03-31,847.98,1133.42,1133.42,0.0,0.0,0.0,0.0,626.29,2711.61,-918.65,0.0,0.0,0.0,0.0,1320.47,-508.51,-106.69,0.0,0.0,0.0,0.0,0.0,-30.48,-3390.56,-3421.04,-437.84,0,0.0
2009-12-31,-411.6,1010.42,1010.42,0.0,0.0,0.0,0.0,47.45,1364.38,-571.85,0.0,-25.72,0.0,0.0,-253.09,-373.2,-1223.87,0.0,0.0,0.0,0.0,-59.0,-28.72,-2717.2,-2804.93,-2526.71,0,0.0
2009-09-30,-77.51,1330.87,1330.87,0.0,0.0,0.0,0.0,4229.52,5168.98,-915.74,0.0,180.99,0.0,0.0,-2185.09,-588.99,-3508.82,0.0,0.0,0.0,0.0,130.65,-59.38,-4521.94,-4450.67,-3002.18,0,0.0
2009-06-30,-1516.13,1104.12,1104.12,0.0,0.0,0.0,0.0,6430.56,5448.85,-701.85,0.0,-155.27,0.0,0.0,-2041.41,-400.63,-3299.17,0.0,0.0,-6753.2,0.0,105.33,-808.53,6905.84,-550.57,1194.45,0,0.0
2009-03-31,-1682.08,1106.56,1106.56,0.0,0.0,0.0,0.0,4546.6,3304.0,-799.18,0.0,0.0,0.0,0.0,-3119.58,-531.04,-4449.81,0.0,0.0,6753.2,0.0,2546.67,-19.62,0.0,9280.26,8362.04,0,0.0
