Quaterly Data ,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2016-12-31,1.2083,0.5435,1.9902,20.6117,7.5754,7.5754,,8.1949,5.2413,0.1687,1.2823,0.8499,105.8901,3.7306,4.6901,0.9079,1.7031,55.2748,0.2965,-1.7694
2016-09-30,0.0,0.0,0.0,22.8049,10.4283,10.4283,,10.2599,6.7233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8375,-0.4387
2016-06-30,0.0,0.0,0.0,20.1083,6.6035,6.6035,,8.2246,6.2901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4938,0.1634
2016-03-31,0.0,0.0,0.0,19.8163,6.9393,6.9393,,5.9292,3.8605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.1464
2015-12-31,1.1916,0.5227,1.9346,21.0995,34.5373,34.5373,,4.0301,5.1919,0.188,0.9706,0.9233,97.4717,3.7472,4.8777,0.9759,1.8517,0.0,-1.2924,-2.9044
2015-09-30,1.2345,0.5344,1.8868,21.5486,9.5798,9.5798,,9.4716,6.4787,0.1766,1.1775,0.9141,98.4609,4.7518,5.8866,1.1441,2.2124,0.0,0.5247,-0.6388
2015-06-30,1.1602,0.537,1.9105,22.2573,9.2116,9.2116,,9.6614,6.3208,0.1816,1.2246,0.9602,93.7295,4.7983,5.961,1.1481,2.2215,0.0,-0.8995,-1.8299
2015-03-31,1.1267,0.5387,2.013,22.787,5.2147,5.2147,,8.4762,5.9878,0.1579,1.1357,0.8524,105.5863,4.248,5.3419,0.9455,1.9595,0.0,1.8902,0.9955
2014-12-31,1.1519,0.5306,1.9444,22.8257,-2.9797,-2.9797,,6.0684,3.0658,0.1624,1.2873,0.8697,103.4824,2.1173,2.6805,0.4978,0.9938,0.0,-5.5205,-7.5025
2014-09-30,1.2035,0.5259,1.8553,23.6715,4.3041,4.3041,,11.3023,8.517,0.1693,1.1933,0.9376,95.9917,5.9856,7.5318,1.4415,2.8379,0.0,1.8333,0.7334
2014-06-30,1.2034,0.528,1.9067,22.0983,5.0325,5.0325,,9.4822,6.67,0.1759,1.2465,0.9816,91.6874,4.8328,6.1735,1.1729,2.2812,0.0,0.0531,-1.4285
2014-03-31,1.2482,0.5147,1.79,21.6132,7.8809,7.8809,,5.5617,3.6867,0.1728,1.2087,0.9721,92.5877,2.5152,3.2073,0.6371,1.2207,0.0,2.0511,0.8553
2013-12-31,1.1917,0.5078,1.7927,21.9488,7.2258,7.2258,,7.1776,5.223,0.1938,1.4784,4.1855,21.5029,3.9337,5.0207,1.0122,1.936,0.0,0.1878,-1.8634
2013-09-30,1.1867,0.5202,2.0102,21.1012,11.2715,11.2715,,6.6115,6.3025,0.1879,1.2382,1.0507,85.6566,4.7266,6.0657,1.1845,2.2677,0.0,1.8765,1.9636
2013-06-30,1.1774,0.5344,2.156,21.8574,7.8832,7.8832,,16.8503,9.5447,0.1794,1.2019,1.0004,89.9601,7.1498,9.2837,1.7126,3.329,0.0,1.4108,-1.2508
2013-03-31,1.1594,0.5295,1.9622,20.7543,2.5004,2.5004,,2.9532,2.1608,0.1529,1.095,0.8455,106.4495,1.3839,1.7838,0.3303,0.6511,0.0,0.5082,-0.6804
2012-12-31,1.1488,0.4878,1.6755,20.2041,6.6624,6.6624,,6.6463,7.9081,0.193,1.34,1.0647,84.5287,5.4655,6.7914,1.5262,2.7995,0.0,-0.8096,-2.6318
